Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,APM Employment Services,CAMBERWELL,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.832293, 'lng': 145.058334}, 'viewport': {'northeast': {'lat': -37.83103972010728, 'lng': 145.0595501798927}, 'southwest': {'lat': -37.83373937989273, 'lng': 145.0568505201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJyc5iU2ZB1moRzS4wMIp0QQg'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Ground Floor, G.02', 'short_name': 'Ground Floor, G.02', 'types': ['subpremise']}, {'long_name': '277', 'short_name': '277', 'types': ['street_number']}, {'long_name': 'Camberwell Road', 'short_name': 'Camberwell Rd', 'types': ['route']}, {'long_name': 'Camberwell', 'short_name': 'Camberwell', 'types': ['locality', 'political']}, {'long_name': 'Boroondara City', 'short_name': 'Boroondara', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3124', 'short_name': '3124', 'types': ['postal_code']}], 'formatted_address': 'Ground Floor, G.02/277 Camberwell Rd, Camberwell VIC 3124, Australia', 'formatted_phone_number': '(03) 9882 8925', 'url': 'https://maps.google.com/?cid=594884762652389069', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=camberwell'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CASTLEMAINE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.0631479, 'lng': 144.2189693}, 'viewport': {'northeast': {'lat': -37.06195317010727, 'lng': 144.2202940298927}, 'southwest': {'lat': -37.06465282989272, 'lng': 144.2175943701073}}}, 'name': 'APM', 'place_id': 'ChIJ67baaVsx12oRdoQPVKnkK3A'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '65', 'short_name': '65', 'types': ['street_number']}, {'long_name': 'Templeton Street', 'short_name': 'Templeton St', 'types': ['route']}, {'long_name': 'Castlemaine', 'short_name': 'Castlemaine', 'types': ['locality', 'political']}, {'long_name': 'Mount Alexander Shire', 'short_name': 'Mount Alexander', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3450', 'short_name': '3450', 'types': ['postal_code']}], 'formatted_address': '65 Templeton St, Castlemaine VIC 3450, Australia', 'formatted_phone_number': '(03) 5441 8515', 'url': 'https://maps.google.com/?cid=8082805372157396086', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=castlemaine'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CHELTENHAM,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.9671041, 'lng': 145.0579082}, 'viewport': {'northeast': {'lat': -37.96583487010728, 'lng': 145.0592399798927}, 'southwest': {'lat': -37.96853452989272, 'lng': 145.0565403201072}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJIQq_D5xt1moRIKdAmPRY-oo'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Suite G01', 'short_name': 'Suite G01', 'types': ['subpremise']}, {'long_name': '43', 'short_name': '43', 'types': ['street_number']}, {'long_name': 'Station Road', 'short_name': 'Station Rd', 'types': ['route']}, {'long_name': 'Cheltenham', 'short_name': 'Cheltenham', 'types': ['locality', 'political']}, {'long_name': 'Kingston City', 'short_name': 'Kingston', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3192', 'short_name': '3192', 'types': ['postal_code']}], 'formatted_address': 'Suite G01/43 Station Rd, Cheltenham VIC 3192, Australia', 'formatted_phone_number': '(03) 9585 8264', 'url': 'https://maps.google.com/?cid=10014414528961357600', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=cheltenham'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CHURCHILL,VIC,All Client Types,3,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,APM Employment Services,COLAC,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -38.33997129999999, 'lng': 143.5852072}, 'viewport': {'northeast': {'lat': -38.33853312010727, 'lng': 143.5865531298927}, 'southwest': {'lat': -38.34123277989272, 'lng': 143.5838534701072}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJJwFlYN8P02oR6VY1OQHvYFk'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '166', 'short_name': '166', 'types': ['street_number']}, {'long_name': 'Murray Street', 'short_name': 'Murray St', 'types': ['route']}, {'long_name': 'Colac', 'short_name': 'Colac', 'types': ['locality', 'political']}, {'long_name': 'Colac Otway Shire', 'short_name': 'Colac Otway', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3250', 'short_name': '3250', 'types': ['postal_code']}], 'formatted_address': '166 Murray St, Colac VIC 3250, Australia', 'formatted_phone_number': '(03) 5231 3378', 'url': 'https://maps.google.com/?cid=6440410255673612009', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=colac'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,CORIO,VIC,Mental Health,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.0744338, 'lng': 144.3595758}, 'viewport': {'northeast': {'lat': -38.07300427010728, 'lng': 144.3609404798927}, 'southwest': {'lat': -38.07570392989273, 'lng': 144.3582408201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ9QBacToX1GoR-MnSXLvbxXE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '1B', 'short_name': '1B', 'types': ['subpremise']}, {'long_name': '83E', 'short_name': '83E', 'types': ['street_number']}, {'long_name': 'Purnell Road', 'short_name': 'Purnell Rd', 'types': ['route']}, {'long_name': 'Corio', 'short_name': 'Corio', 'types': ['locality', 'political']}, {'long_name': 'Greater Geelong City', 'short_name': 'Greater Geelong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3214', 'short_name': '3214', 'types': ['postal_code']}], 'formatted_address': '1B/83E Purnell Rd, Corio VIC 3214, Australia', 'formatted_phone_number': '(03) 5275 0879', 'url': 'https://maps.google.com/?cid=8198200294460541432', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=corio'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CORIO,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.0744338, 'lng': 144.3595758}, 'viewport': {'northeast': {'lat': -38.07300427010728, 'lng': 144.3609404798927}, 'southwest': {'lat': -38.07570392989273, 'lng': 144.3582408201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ9QBacToX1GoR-MnSXLvbxXE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '1B', 'short_name': '1B', 'types': ['subpremise']}, {'long_name': '83E', 'short_name': '83E', 'types': ['street_number']}, {'long_name': 'Purnell Road', 'short_name': 'Purnell Rd', 'types': ['route']}, {'long_name': 'Corio', 'short_name': 'Corio', 'types': ['locality', 'political']}, {'long_name': 'Greater Geelong City', 'short_name': 'Greater Geelong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3214', 'short_name': '3214', 'types': ['postal_code']}], 'formatted_address': '1B/83E Purnell Rd, Corio VIC 3214, Australia', 'formatted_phone_number': '(03) 5275 0879', 'url': 'https://maps.google.com/?cid=8198200294460541432', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=corio'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CORRYONG,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -36.1961088, 'lng': 147.9030678}, 'viewport': {'northeast': {'lat': -36.19486447010727, 'lng': 147.9044821798927}, 'southwest': {'lat': -36.19756412989271, 'lng': 147.9017825201073}}}, 'name': 'APM', 'place_id': 'ChIJ1dwD9wkRI2sRISAhNYMpvKE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Hanson Street', 'short_name': 'Hanson St', 'types': ['route']}, {'long_name': 'Corryong', 'short_name': 'Corryong', 'types': ['locality', 'political']}, {'long_name': 'Towong Shire', 'short_name': 'Towong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3707', 'short_name': '3707', 'types': ['postal_code']}], 'formatted_address': '76 Hanson St, Corryong VIC 3707, Australia', 'formatted_phone_number': '(02) 6021 8740', 'url': 'https://maps.google.com/?cid=11654235579236818977', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=corryong'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,COWES,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.4520662, 'lng': 145.2406211}, 'viewport': {'northeast': {'lat': -38.45085397010727, 'lng': 145.2419709798928}, 'southwest': {'lat': -38.45355362989272, 'lng': 145.2392713201073}}}, 'name': 'APM', 'place_id': 'ChIJXQr_653t1WoRh8-77-rQjzY'}, {'geometry': {'location': {'lat': -38.14478100000001, 'lng': 145.123553}, 'viewport': {'northeast': {'lat': -38.14351127010728, 'lng': 145.1249614798927}, 'southwest': {'lat': -38.14621092989272, 'lng': 145.1222618201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJRy7YmrZ11moRaAO2i6IbutA'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '56-58', 'short_name': '56-58', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Cowes', 'short_name': 'Cowes', 'types': ['locality', 'political']}, {'long_name': 'Bass Coast Shire', 'short_name': 'Bass Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3922', 'short_name': '3922', 'types': ['postal_code']}], 'formatted_address': 'Phillip Island Community & Learning Centre, 56-58 Church St, Cowes VIC 3922, Australia', 'formatted_phone_number': '1300 366 047', 'url': 'https://maps.google.com/?cid=3931590707180720007', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=cowes'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CRANBOURNE,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -38.1119277, 'lng': 145.2822551}, 'viewport': {'northeast': {'lat': -38.11061977010728, 'lng': 145.2839252798927}, 'southwest': {'lat': -38.11331942989273, 'lng': 145.2812256201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJz5sKTysP1moRjh1iTEnBr8M'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Unit 13', 'short_name': 'Unit 13', 'types': ['subpremise']}, {'long_name': '33-39', 'short_name': '33-39', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Cranbourne', 'short_name': 'Cranbourne', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3977', 'short_name': '3977', 'types': ['postal_code']}], 'formatted_address': 'Unit 13/33-39 High St, Cranbourne VIC 3977, Australia', 'formatted_phone_number': '(03) 5996 6759', 'url': 'https://maps.google.com/?cid=14100701478878584206', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=cranbourne'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,CUDGEWA,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -36.1846603, 'lng': 147.7786828}, 'viewport': {'northeast': {'lat': -36.18337162010728, 'lng': 147.7801073298927}, 'southwest': {'lat': -36.18607127989272, 'lng': 147.7774076701072}}}, 'name': 'APM', 'place_id': 'ChIJzTXw5VoPI2sR909YWBsHhHk'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Mechanics Hall', 'short_name': 'Mechanics Hall', 'types': ['point_of_interest', 'establishment']}, {'long_name': '195', 'short_name': '195', 'types': ['street_number']}, {'long_name': 'Main Street', 'short_name': 'Main St', 'types': ['route']}, {'long_name': 'Cudgewa', 'short_name': 'Cudgewa', 'types': ['locality', 'political']}, {'long_name': 'Towong Shire', 'short_name': 'Towong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3705', 'short_name': '3705', 'types': ['postal_code']}], 'formatted_address': 'Mechanics Hall, 195 Main St, Cudgewa VIC 3705, Australia', 'formatted_phone_number': '(02) 6021 8740', 'url': 'https://maps.google.com/?cid=8756131389542780919', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=cudgewa'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,DANDENONG,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.9886302, 'lng': 145.2110174}, 'viewport': {'northeast': {'lat': -37.98712707010727, 'lng': 145.2123532798927}, 'southwest': {'lat': -37.98982672989272, 'lng': 145.2096536201072}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJp-io9UcV1moRGBbQRlwGlU8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Walker Street', 'short_name': 'Walker St', 'types': ['route']}, {'long_name': 'Dandenong', 'short_name': 'Dandenong', 'types': ['locality', 'political']}, {'long_name': 'Greater Dandenong City', 'short_name': 'Greater Dandenong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3175', 'short_name': '3175', 'types': ['postal_code']}], 'formatted_address': '2 Walker St, Dandenong VIC 3175, Australia', 'formatted_phone_number': '(03) 9792 0470', 'url': 'https://maps.google.com/?cid=5734496693920994840', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=dandenong'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,DAYLESFORD,VIC,Mental Health,New Site,"[{'candidates': [{'geometry': {'location': {'lat': -37.341932, 'lng': 144.146116}, 'viewport': {'northeast': {'lat': -37.34054732010728, 'lng': 144.1472094798927}, 'southwest': {'lat': -37.34324697989273, 'lng': 144.1445098201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJZxFsIlfT1moRCs6KCK_I_70'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Neighbourhood Centre', 'short_name': 'Neighbourhood Centre', 'types': ['point_of_interest', 'establishment']}, {'long_name': '13', 'short_name': '13', 'types': ['street_number']}, {'long_name': 'Camp Street', 'short_name': 'Camp St', 'types': ['route']}, {'long_name': 'Daylesford', 'short_name': 'Daylesford', 'types': ['locality', 'political']}, {'long_name': 'Hepburn Shire', 'short_name': 'Hepburn', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3460', 'short_name': '3460', 'types': ['postal_code']}], 'formatted_address': 'Neighbourhood Centre, 13 Camp St, Daylesford VIC 3460, Australia', 'formatted_phone_number': '(03) 5331 2002', 'url': 'https://maps.google.com/?cid=13690882046317743626', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=daylesford'}, 'status': 'OK'}]"
